COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_DRAGGED, x:124, y:437, bt:0, since:17438
MOUSE_DRAGGED, x:124, y:436, bt:0, since:17469
MOUSE_DRAGGED, x:125, y:435, bt:0, since:17501
MOUSE_DRAGGED, x:125, y:434, bt:0, since:17532
MOUSE_DRAGGED, x:125, y:433, bt:0, since:17566
MOUSE_DRAGGED, x:125, y:431, bt:0, since:17590
MOUSE_DRAGGED, x:124, y:429, bt:0, since:17591
MOUSE_DRAGGED, x:123, y:428, bt:0, since:17634
MOUSE_DRAGGED, x:122, y:428, bt:0, since:17656
MOUSE_DRAGGED, x:121, y:428, bt:0, since:17766
MOUSE_DRAGGED, x:119, y:428, bt:0, since:17831
MOUSE_DRAGGED, x:117, y:429, bt:0, since:17960
MOUSE_DRAGGED, x:116, y:433, bt:0, since:18188
MOUSE_DRAGGED, x:116, y:434, bt:0, since:18322
MOUSE_RELEASED, x:116, y:434, bt:16, since:18539
MOUSE_MOVED, x:115, y:434, bt:0, since:18634
MOUSE_MOVED, x:114, y:434, bt:0, since:18666
MOUSE_MOVED, x:111, y:434, bt:0, since:18667
MOUSE_MOVED, x:104, y:434, bt:0, since:18701
MOUSE_MOVED, x:96, y:434, bt:0, since:18734
MOUSE_MOVED, x:88, y:433, bt:0, since:18763
MOUSE_MOVED, x:86, y:430, bt:0, since:18808
MOUSE_MOVED, x:84, y:426, bt:0, since:18835
MOUSE_MOVED, x:74, y:407, bt:0, since:18861
MOUSE_MOVED, x:69, y:392, bt:0, since:18861
MOUSE_MOVED, x:67, y:382, bt:0, since:18892
MOUSE_MOVED, x:65, y:371, bt:0, since:18893
MOUSE_MOVED, x:63, y:354, bt:0, since:18931
MOUSE_MOVED, x:63, y:343, bt:0, since:18931
MOUSE_MOVED, x:63, y:336, bt:0, since:18963
MOUSE_MOVED, x:58, y:306, bt:0, since:18963
MOUSE_MOVED, x:58, y:294, bt:0, since:18995
MOUSE_MOVED, x:56, y:273, bt:0, since:18996
MOUSE_MOVED, x:55, y:261, bt:0, since:18996
MOUSE_MOVED, x:50, y:218, bt:0, since:19031
