WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
COMPONENT_RESIZED, size:java.awt.Dimension[width=949,height=615], bounds:java.awt.Rectangle[x=8,y=30,width=949,height=615], since:24786
COMPONENT_RESIZED, size:java.awt.Dimension[width=949,height=615], bounds:java.awt.Rectangle[x=8,y=30,width=949,height=615], since:24786
COMPONENT_RESIZED, size:java.awt.Dimension[width=949,height=615], bounds:java.awt.Rectangle[x=8,y=30,width=949,height=615], since:24894
MOUSE_MOVED, x:933, y:605, bt:0, since:25475
MOUSE_MOVED, x:468, y:376, bt:0, since:25543
MOUSE_MOVED, x:90, y:204, bt:0, since:25586
MOUSE_MOVED, x:6, y:23, bt:0, since:26318
MOUSE_MOVED, x:5, y:10, bt:0, since:26372
MOUSE_MOVED, x:1, y:2, bt:0, since:26418
MOUSE_DRAGGED, x:506, y:66, bt:0, since:28342
COMPONENT_RESIZED, size:java.awt.Dimension[width=1366,height=716], bounds:java.awt.Rectangle[x=8,y=30,width=1366,height=716], since:28459
MOUSE_MOVED, x:509, y:56, bt:0, since:28930
MOUSE_MOVED, x:512, y:28, bt:0, since:28961
MOUSE_MOVED, x:517, y:1, bt:0, since:28990
MOUSE_MOVED, x:538, y:85, bt:0, since:29711
MOUSE_MOVED, x:588, y:227, bt:0, since:29748
MOUSE_MOVED, x:620, y:379, bt:0, since:29809
MOUSE_MOVED, x:625, y:394, bt:0, since:29868
MOUSE_PRESSED, x:625, y:394, bt:16, since:30004
MOUSE_DRAGGED, x:625, y:392, bt:0, since:30127
MOUSE_DRAGGED, x:625, y:386, bt:0, since:30172
MOUSE_DRAGGED, x:626, y:376, bt:0, since:30210
MOUSE_DRAGGED, x:627, y:359, bt:0, since:30276
MOUSE_DRAGGED, x:629, y:348, bt:0, since:30341
MOUSE_DRAGGED, x:629, y:340, bt:0, since:30396
MOUSE_DRAGGED, x:630, y:330, bt:0, since:30446
MOUSE_DRAGGED, x:632, y:312, bt:0, since:30507
MOUSE_DRAGGED, x:636, y:297, bt:0, since:30567
MOUSE_DRAGGED, x:638, y:286, bt:0, since:30623
MOUSE_DRAGGED, x:643, y:247, bt:0, since:30747
MOUSE_DRAGGED, x:644, y:233, bt:0, since:30786
MOUSE_DRAGGED, x:645, y:218, bt:0, since:30840
MOUSE_DRAGGED, x:645, y:215, bt:0, since:30897
MOUSE_DRAGGED, x:644, y:225, bt:0, since:30999
MOUSE_DRAGGED, x:640, y:241, bt:0, since:31031
MOUSE_DRAGGED, x:636, y:269, bt:0, since:31064
MOUSE_DRAGGED, x:630, y:312, bt:0, since:31098
MOUSE_DRAGGED, x:629, y:365, bt:0, since:31154
MOUSE_DRAGGED, x:633, y:399, bt:0, since:31205
MOUSE_DRAGGED, x:634, y:412, bt:0, since:31238
MOUSE_DRAGGED, x:634, y:422, bt:0, since:31274
MOUSE_DRAGGED, x:635, y:424, bt:0, since:31307
MOUSE_DRAGGED, x:635, y:425, bt:0, since:31342
